Time,Angle_HipFlexion,Angle_HipAbduction,Angle_KneeFlexion,Angle_AnklePlantarFlexion,Angle_ElbowFlexion,Angle_WristFlexion
1.28,-6.05547957500533,-1.15501648461975,25.7086005955062,-19.9493177434196,6.26344861801008,-56.8950113353524
1.29,-5.4028431298508,-1.13304153806821,26.1342800398724,-20.1158167160775,6.30152285677285,-56.8974736766487
1.3,-4.773314249952,-1.11253448636334,26.4381859045655,-20.2103021387778,6.33729586787206,-56.8990457023346
1.31,-4.16948699328455,-1.09339379634905,26.6172598591253,-20.2290600401001,6.37063979589393,-56.8995967230156
1.32,-3.59380859671146,-1.07536497447806,26.669650477129,-20.1686270843449,6.40144449868365,-56.8989961756159
1.33,-3.04856438564651,-1.05802632982163,26.5946858960544,-20.0258985511006,6.42968341098581,-56.8970659897322
1.34,-2.53589916226477,-1.04076726688995,26.3928427509654,-19.7982469728994,6.45529669976325,-56.8936696258228
1.35,-2.05777747634763,-1.02276220705504,26.0657184205611,-19.4836591544762,6.47825790677097,-56.8886627867515
1.36,-1.61595061139617,-1.00293913772431,25.6160078628736,-19.0808790054183,6.49857257325945,-56.8818943035754
1.37,-1.21192885651379,-0.979941971553083,25.0474954786524,-18.5895596924067,6.51620599661017,-56.8732617690274
1.38,-0.846900251320651,-0.952104759473626,24.3650559129347,-18.010414735407,6.53118560815028,-56.8626293426736
1.39,-0.521675566024712,-0.917423537267714,23.5746914576989,-17.3453891867535,6.5435331984643,-56.849878043219
1.4,-0.236604291072463,-0.873548240182646,22.6835991156556,-16.5978460206303,6.55325986495828,-56.834905898401
1.41,0.00854015290552034,-0.817805538835679,21.7002707739822,-15.7727762787791,6.56042983009827,-56.8175703783878
1.42,0.21462908821307,-0.747265603689613,20.6346138027761,-14.8770220781676,6.56505288252078,-56.7977706104487
1.43,0.383279357308386,-0.658878420682198,19.4980650984848,-13.9194999671875,6.56714349448132,-56.7753914252207
1.44,0.516894205462701,-0.549692254422105,18.3036490656281,-12.9113707845251,6.56671839351199,-56.7502968876212
1.45,0.618608158920998,-0.417156139289772,17.0659177823963,-11.8660817931227,6.56372130529808,-56.7223857577645
1.46,0.692165621977355,-0.259503126447853,15.8006871548056,-10.7991612792263,6.55812103030233,-56.6914973867118
1.47,0.741636978006186,-0.0761407077846971,14.5245525349802,-9.72770011873213,6.54984697672711,-56.6574575979577
1.48,0.771070381503607,0.132016187919218,13.2541863949054,-8.6694759834886,6.53884718628253,-56.6200185906812
1.49,0.784063265315134,0.362366278705475,12.0055140117016,-7.64179021364578,6.52499496173351,-56.5789370766934
1.5,0.783436225615221,0.610651201544528,10.7929234629996,-6.66021261988081,6.50814708743323,-56.5339222940499
1.51,0.771009870442211,0.871206335633129,9.6286658246672,-5.73746590369046,6.48808723594775,-56.4846942556224
1.52,0.747603038723262,1.13736812180496,8.52253696101297,-4.88264693338585,6.46462504109056,-56.4309052221468
1.53,0.713152574008134,1.40196429990561,7.48186707355415,-4.10090053151119,6.43754880400077,-56.3722019915889
1.54,0.66698084885937,1.65778503762868,6.51174543009823,-3.39351986280235,6.40670388563363,-56.3081759307061
1.55,0.60805678592137,1.89798473292815,5.61538809641879,-2.75837929921697,6.37190789063695,-56.238472214121
1.56,0.535274185666657,2.1163749567047,4.79454887926587,-2.19056917496589,6.33296377350859,-56.1628104342348
1.57,0.447709164306836,2.30760831687611,4.04990404390729,-1.68311551089572,6.28975954157627,-56.0809221456845
1.58,0.344768859606331,2.4672801431612,3.38137708963347,-1.22770592973958,6.24222158649588,-55.992629444452
1.59,0.226310851823562,2.59195885073787,2.78838512821362,-0.81536731372736,6.19037714108021,-55.8978160935144
1.6,0.0926611341534666,2.67917785066022,2.27001249193026,-0.437073671423284,6.1342750711559,-55.7965365538688
1.61,-0.0553696324937227,2.7273937148018,1.82511735885861,-0.0842702998543673,6.07404741458298,-55.6889820002606
1.62,-0.216525263437195,2.73593219346,1.45238672748429,0.25068511189405,6.00991405075855,-55.5754976002124
