Time,Plate1_Fx,Plate1_Fy,Plate1_Fz,Plate2_Fx,Plate2_Fy,Plate2_Fz
3.42,-0,-0,-0,37.9479298246436,-50.7679801060562,627.132065745403
3.43,-0,-0,-0,37.5461887185295,-46.8064992364335,619.015712075061
3.44,-0,-0,-0,37.2641124444886,-42.8299956339987,611.335748141079
3.45,-0,-0,-0,37.0659805906178,-38.861219419238,604.260326440522
3.46,-0,-0,-0,36.9284276076471,-34.9112401236974,597.919151293035
3.47,-0,-0,-0,36.8276272122871,-30.9995628298319,592.369999847752
3.48,-0,-0,-0,36.7250289697706,-27.1534884014884,587.521237045103
3.49,-0,-0,-0,36.5420018198985,-23.3688596786235,582.935914017638
3.5,-0,-0,-0,35.989816156841,-19.7794493504573,576.800526520501
3.51,-0,-0,-0,33.7247125746636,-15.7556596190622,559.148145557816
3.52,-0,-0,-0,10.6512733827631,-6.00286607430508,329.022679969318
3.53,-0,-0,-0,-0,-0,-0
3.54,-0,-0,-0,-0,-0,-0
3.55,-0,-0,-0,-0,-0,-0
3.56,-0,-0,-0,-0,-0,-0
3.57,-0,-0,-0,-0,-0,-0
3.58,-0,-0,-0,-0,-0,-0
3.59,-0,-0,-0,-0,-0,-0
3.6,-0,-0,-0,-0,-0,-0
3.61,-0,-0,-0,-0,-0,-0
3.62,-0,-0,-0,-0,-0,-0
3.63,-0,-0,-0,-0,-0,-0
3.64,-0,-0,-0,-0,-0,-0
3.65,-0,-0,-0,-0,-0,-0
3.66,-0,-0,-0,-0,-0,-0
3.67,-0,-0,-0,-0,-0,-0
3.68,-0,-0,-0,-0,-0,-0
3.69,-0,-0,-0,-0,-0,-0
3.7,-0,-0,-0,-0,-0,-0
3.71,-0,-0,-0,-0,-0,-0
3.72,-0,-0,-0,-0,-0,-0
3.73,-0,-0,-0,-0,-0,-0
3.74,-0,-0,-0,-0,-0,-0
3.75,-0,-0,-0,-0,-0,-0
3.76,-0,-0,-0,-0,-0,-0
3.77,-0,-0,-0,-0,-0,-0
3.78,-0,-0,-0,-0,-0,-0
3.79,-0,-0,-0,-0,-0,-0
3.8,-0,-0,-0,-0,-0,-0
3.81,-0,-0,-0,-0,-0,-0
3.82,-0,-0,-0,-0,-0,-0
3.83,-0,-0,-0,-0,-0,-0
3.84,-0,-0,-0,-0,-0,-0
3.85,-0,-0,-0,-0,-0,-0
3.86,-0,-0,-0,-0,-0,-0
3.87,-0,-0,-0,-0,-0,-0
3.88,-0,-0,-0,-0,-0,-0
3.89,-47.4827432536268,-52.9506775034989,568.458424452248,-0,-0,-0
3.9,-74.0829462120631,-107.797121270631,674.44531505995,-0,-0,-0
3.91,-71.2329201311405,-83.1901029917625,671.448368642585,-0,-0,-0
3.92,-63.1740291258853,-46.8277157161642,688.267846563294,-0,-0,-0
3.93,-67.1786964400553,-79.4713479247563,672.213942532119,-0,-0,-0
3.94,-65.5374634524099,-78.5380700359558,668.124612256125,-0,-0,-0
3.95,-63.5274568739367,-77.0559089568773,663.782055327263,-0,-0,-0
3.96,-61.4031507920597,-74.7681634447591,658.413876132785,-0,-0,-0
3.97,-59.2272441671463,-72.2383087455962,653.39058481248,-0,-0,-0
3.98,-57.2234353910007,-69.2347994567603,648.07073862581,-0,-0,-0
3.99,-55.3955644395578,-66.232614325699,643.630178225109,-0,-0,-0
4,-53.8345238283664,-63.0699307721801,639.494266489391,-0,-0,-0
