Time,Angle_HipFlexion,Angle_HipAbduction,Angle_KneeFlexion,Angle_AnklePlantarFlexion,Angle_ElbowFlexion,Angle_WristFlexion
2.24,5.17431522274113,1.36980005796307,55.6883195713165,-10.0692848559676,16.0597627629883,-53.8952214354571
2.25,5.69996965604838,0.968049441827808,53.9924025062964,-10.2296511293292,16.1625840356954,-53.83712465078
2.26,6.16396690759408,0.576907646508766,52.0705865882817,-10.3009492861174,16.2712999220416,-53.7752943330635
2.27,6.56860939188621,0.202859192404177,49.9500337373747,-10.2740300469687,16.3840526262258,-53.7108163533507
2.28,6.91604008904382,-0.1478794898707,47.6571719261358,-10.1453696649918,16.4988921822057,-53.6447413794052
2.29,7.20797268637892,-0.469479031002098,45.2169723343892,-9.91660924008997,16.6139138146345,-53.5780471296765
2.3,7.44554458860463,-0.756505872965292,42.6526326873824,-9.59395753415586,16.7273107289755,-53.5116078738104
2.31,7.62934909550496,-1.00390905732943,39.9857422266704,-9.18750898016327,16.8374119242915,-53.4461750719995
2.32,7.75968206218188,-1.20699951247427,37.2369620967286,-8.71056202021057,16.9427164509792,-53.3823682007489
2.33,7.8370137798469,-1.36139225478133,34.4271986841685,-8.17903625717604,17.0419125662608,-53.3206755470551
2.34,7.86265990101707,-1.462929033754,31.5791659064462,-7.61105832505725,17.1338796967286,-53.2614635676559
2.35,7.83956521542642,-1.50769480056914,28.7191140333798,-7.02672812344002,17.2176722956508,-53.2049897959395
2.36,7.77302913157353,-1.49233288927397,25.8783427784035,-6.4479625216744,17.2924864080819,-53.1514112011217
2.37,7.67110351160834,-1.41486649627163,23.0939422401735,-5.8981368909838,17.3576117868232,-53.1007803539625
2.38,7.54433299424476,-1.27607928850829,20.4081077174845,-5.40105413083405,17.4123750623537,-53.0530270830946
2.39,7.40459171949311,-1.08117264957668,17.8655320996849,-4.97873562662116,17.4560835137594,-53.0079326567299
2.4,7.26310142202264,-0.841007216561193,15.5089826670536,-4.6479250295752,17.487983792565,-52.9651132945452
2.41,7.12822308742738,-0.572068578794592,13.3741417701601,-4.41611293944436,17.5072518107767,-52.9240333046404
2.42,7.00393652952401,-0.294717401656864,11.4855260109893,-4.27878143019985,17.5130240799984,-52.8840591599285
2.43,6.88966929057076,-0.0301866706130294,9.85501432459512,-4.21944210720461,17.5044672990251,-52.8445468294247
2.44,6.78140674180402,0.20251636494879,8.48321082833831,-4.21264615172812,17.4808700836569,-52.8049387441782
2.45,6.67340516393357,0.388738003755025,7.36255629035529,-4.22859555028314,17.4417370725437,-52.764845408006
2.46,6.55976355509792,0.518963124249223,6.480712101737,-4.23756286828689,17.3868712025494,-52.7240977410414
2.47,6.43544367587731,0.588547863481876,5.823215807244,-4.21307647599683,17.3164377713542,-52.6827689242607
2.48,6.29668284879065,0.596952097076658,5.37509912931443,-4.13384105755526,17.231008576186,-52.641171624988
2.49,6.14092942495336,0.546940362628541,5.12161228261036,-3.9849067709826,17.1315855446795,-52.5998379009301
2.5,5.96647526464887,0.444001620663763,5.04835510647634,-3.75857125924685,17.0196029449102,-52.5594875648344
2.51,5.7719454073178,0.296032777675215,5.14109982323883,-3.45516202732001,16.896907177321,-52.5209887316305
2.52,5.55574079305381,0.113177810302345,5.38548316607225,-3.08347668900265,16.7657076738307,-52.4853220023578
2.53,5.31560729047801,-0.0922863567406188,5.7667752321497,-2.66056310371287,16.6285086116659,-52.4535304452344
2.54,5.04862791885001,-0.306032953007859,6.27001053440839,-2.21068904574659,16.4880763568899,-52.4265853441102
2.55,4.75037250481298,-0.512455998292154,6.87927106002704,-1.76259289719414,16.3472702778474,-52.405493034735
2.56,4.41533060799635,-0.69509132803232,7.57815445230542,-1.34672786495204,16.2089693383269,-52.3911590820919
2.57,4.03705220853749,-0.837432107538329,8.34980275490937,-0.991910441317568,16.0760042063322,-52.3843558047985
2.58,3.60856532187546,-0.923831605477146,9.17697554670431,-0.722307559220124,15.9510583391419,-52.3857108183086
2.59,3.12347469058947,-0.940396496242972,10.0423647005961,-0.555304844541052,15.836235444099,-52.3956692641637
2.6,2.57810753903149,-0.87711991098744,10.9284063139067,-0.499794868816383,15.7335512720225,-52.414522382508
