Time,Right_Fx,Right_Fy,Right_Fz,Right_Mx,Right_My,Right_Mz,Left_Fx,Left_Fy,Left_Fz,Left_Mx,Left_My,Left_Mz
3.7,-0,-0,-0,-0,-0,-0,10.9929108703096,-26.472073205306,652.415780290889,-214.713274283328,161.377894581721,14.3502955737423
3.71,-0,-0,-0,-0,-0,-0,9.40625750452077,-26.2029867348157,651.715611787897,-213.988185873071,161.197776323217,13.6396667484748
3.72,-0,-0,-0,-0,-0,-0,7.67116042724059,-26.0180481038817,651.07796568479,-213.304506802369,160.947462097678,12.8976693019891
3.73,-0,-0,-0,-0,-0,-0,5.80055880147207,-25.7206612302699,650.523525796092,-212.912909343876,160.600250165949,12.0696109220731
3.74,-0,-0,-0,-0,-0,-0,3.81373901066072,-25.2740913379955,650.06321927667,-212.840387837773,160.152164972476,11.1567091081457
3.75,-0,-0,-0,-0,-0,-0,1.77090923060933,-24.8188486694674,649.677191596208,-212.867300129991,159.655175027904,10.2339077072062
3.76,-0,-0,-0,-0,-0,-0,-0.319940869434169,-24.2217117282288,649.385483474736,-213.151765773402,159.090691383632,9.26347593010516
3.77,-0,-0,-0,-0,-0,-0,-2.4097452496969,-23.5270687355849,649.162715799163,-213.607718762492,158.498943363241,8.26946961724786
3.78,-0,-0,-0,-0,-0,-0,-4.50949777790448,-22.6906115878839,649.065170176966,-214.284379585196,157.845845839234,7.25468780200131
3.79,-0,-0,-0,-0,-0,-0,-6.60180493112747,-21.7110920851504,649.103304101213,-215.172409039099,157.137077648476,6.22736324880886
3.8,-0,-0,-0,-0,-0,-0,-8.67111914659738,-20.5978267970294,649.282724757189,-216.253506739289,156.37859345087,5.1959683256698
3.81,-0,-0,-0,-0,-0,-0,-10.7048895417599,-19.3664474617123,649.611111959741,-217.506558827933,155.574861926389,4.1689442936102
3.82,-0,-0,-0,-0,-0,-0,-12.6868164864027,-18.0327901856385,650.087314777478,-218.913972577758,154.736650192412,3.15501613323633
3.83,-0,-0,-0,-0,-0,-0,-14.6108086932064,-16.6066259980868,650.711486590705,-220.469584029897,153.860973371979,2.1537927693324
3.84,-0,-0,-0,-0,-0,-0,-16.4485485251356,-15.2245654956066,651.453040624337,-221.991818065423,152.977433516944,1.21472702482916
3.85,-0,-0,-0,-0,-0,-0,-18.2167938029358,-13.7683841478803,652.317628369576,-223.651963148777,152.047908021365,0.286569242397439
3.86,-0,-0,-0,-0,-0,-0,-19.8798054379815,-12.3800568070706,653.260695930904,-225.258561105058,151.111369130586,-0.578939555369109
3.87,-0,-0,-0,-0,-0,-0,-21.4201533417502,-11.057786957323,654.252634218201,-226.816408677764,150.177905132182,-1.38266577559941
3.88,-0,-0,-0,-0,-0,-0,-22.8154391497342,-9.82050129065779,655.255698654706,-228.298543045275,149.264990107608,-2.11592113218719
3.89,-0,-0,-0,-0,-0,-0,-24.0094462913435,-8.61838824877903,656.216570591382,-229.769457280942,148.436449532924,-2.77309256320971
3.9,-0,-0,-0,-0,-0,-0,-24.9721882698194,-7.54150795701376,657.138361480346,-231.101712896503,147.725850948876,-3.34210080795216
3.91,-0,-0,-0,-0,-0,-0,-25.6780356758263,-6.55181257318608,657.979452339509,-232.340713666407,147.159325683783,-3.82179808234194
3.92,-0,-0,-0,-0,-0,-0,-26.1781560548996,-5.68145637026984,658.712515927181,-233.435187286105,146.66050776086,-4.2134430113803
3.93,-0,-0,-0,-0,-0,-0,-26.472116107661,-4.94879779082844,659.321701611689,-234.354276197303,146.229894306534,-4.51065482679511
3.94,-0,-0,-0,-0,-0,-0,-26.5664547544187,-4.27311052401613,659.833936503016,-235.207963625251,145.860833144914,-4.74734024233632
3.95,-0,-0,-0,-0,-0,-0,-26.457347301036,-3.76627302640422,660.214820981386,-235.837280295285,145.569754566739,-4.88126111710619
3.96,-0,-0,-0,-0,-0,-0,-26.1628965624432,-3.34144119619481,660.504485928571,-236.363773520827,145.34225272539,-4.95137532774034
3.97,-0,-0,-0,-0,-0,-0,-25.6954689208995,-3.01240310744658,660.712660094164,-236.768688138115,145.17798161966,-4.95702797525459
3.98,-0,-0,-0,-0,-0,-0,-25.0706892250516,-2.77147932370875,660.857163928211,-237.063295548159,145.074301348164,-4.90644524264394
3.99,-0,-0,-0,-0,-0,-0,-24.3074900817909,-2.61160599619745,660.955181678927,-237.256907245507,145.025928758932,-4.80812638357515
4,-0,-0,-0,-0,-0,-0,-23.4249916115741,-2.52568553457358,661.020492357044,-237.356723478184,145.028306529931,-4.67047747324718
