Time,Moment_ElbowFlexion,Moment_ElbowPronation,Moment_WristAbduction,Moment_WristFlexion,Force_ElbowHumeroUlnar_AnteroPosteriorForce,Force_ElbowHumeroUlnar_AxialMoment,Force_ElbowHumeroUlnar_LateralMoment,Force_ElbowHumeroUlnar_MedioLateralForce,Force_ElbowHumeroUlnar_ProximoDistalForce,Force_WristRadioCarpal_AxialMoment,Force_WristRadioCarpal_DorsoVolarForce,Force_WristRadioCarpal_ProximoDistalForce,Force_WristRadioCarpal_RadialForce
2.42,-8.57661401867883,15.5909946983132,12.7639439803278,-47.0920161207025,-56.5239309004971,-6.16031330030291,31.7516854707068,67.3150393235959,-3.24846231185015,-3.79987807303564,-50.5833362195551,-90.1730763474856,52.2815626759017
2.43,-8.74875744829411,15.5965391726528,12.7276030184289,-46.6768305249459,-56.43186639001,-6.13937966631921,31.9687121645315,64.5830399144459,-3.59469451630914,-3.95284810415316,-47.8164388120061,-91.7191407379843,51.229397001641
2.44,-8.91050738998602,15.5770816663476,12.6649022560358,-46.3853029965837,-56.3668829495803,-6.08298868613938,32.2253687442999,62.1580830509928,-3.88191130233291,-4.04449508737763,-45.3551127933922,-93.5679506128655,50.1682145171909
2.45,-9.07539224512659,15.5030690112893,12.5267433523679,-46.4480199732097,-56.3751082678359,-5.96250094909218,32.5056819067142,61.0239913216221,-3.96741475912665,-3.96882659372379,-44.1688240073589,-95.6449625592514,49.3693112866207
2.46,-9.22881974247897,15.4131780865813,12.3722550957721,-46.6102936961563,-56.4480217225525,-5.84019546762552,32.7518374471832,60.4228394791787,-3.96970580573437,-3.84237056982336,-43.5091437631883,-97.7693319968249,48.7164288658597
2.47,-9.36509310009123,15.3074568313861,12.2149126354409,-46.7124207227851,-56.5396060161241,-5.72548812983293,32.9427979183715,59.8063441517395,-3.96146607250022,-3.71447623732608,-42.8455602237389,-99.7625545405164,48.0971023357521
2.48,-9.49982038434552,15.1697683421322,12.0270714241215,-46.8227634761441,-56.6306283289125,-5.59875331818913,33.0906053788618,59.3776938244284,-3.90448096958985,-3.54742389974185,-42.3684025670497,-101.824297621109,47.4854091463756
2.49,-9.62633554441675,15.0087309788569,11.8251288949008,-46.8968638627874,-56.7062480036725,-5.46513617160002,33.2062407544769,58.9224808688225,-3.82957191291828,-3.36569995194701,-41.8593344936507,-104.000129793707,46.8145786957948
2.5,-9.72027674168304,14.8489004931213,11.6588002635531,-46.8824059680587,-56.7959381717397,-5.33750694876725,33.3185454489011,58.1481245647533,-3.79519472400212,-3.21545509838797,-41.0098056531738,-106.364609173026,46.0433618887857
2.51,-9.80244187978275,14.6567474699805,11.4722820072317,-46.7778098194641,-56.7592302871414,-5.18184901621524,33.4379353335332,56.9536043700527,-3.77417584145632,-3.06223850573289,-39.736624742302,-109.088415099881,44.9666083209263
2.52,-9.88007009229925,14.4231485459193,11.2506390358984,-46.5326393027645,-56.5483379562473,-5.00012132419893,33.5320658453697,55.2586739592217,-3.76778633378178,-2.90930829684024,-37.9723582751476,-112.066699462827,43.5489666739584
2.53,-9.93503798820168,14.2092473762278,11.0772125043945,-45.9338118548087,-56.2221963259403,-4.87787057421967,33.5272852876684,52.5544712922646,-3.88044342807916,-2.88218233646726,-35.2007410042993,-115.120398023533,41.8050528848984
2.54,-9.98394481807772,14.0338929545365,10.9733068850333,-45.0152754037595,-55.9205157017295,-4.83375708383113,33.4191860203783,49.0266694793103,-4.13158679704656,-2.98901485965203,-31.5889515659053,-117.997259332595,39.9832304631836
2.55,-10.0272090049466,13.867524882662,10.8904434302753,-43.9066687109087,-55.5851839905831,-4.84022498153841,33.1819743804879,45.2768489567569,-4.41023653959693,-3.15500782185805,-27.7532522410301,-120.657011843949,38.1490028558148
2.56,-10.0594613578016,13.7659449958162,10.9330480108913,-42.4682194964861,-55.4302958275831,-4.94081704018221,32.8534106144431,40.6499569843016,-4.89159687937761,-3.48841315703567,-22.9782434983391,-123.318354586483,36.3489442429302
2.57,-10.0682163876399,13.7242888094303,11.0898820684629,-40.9312636395202,-55.5219888100208,-5.11867301851754,32.4407353372338,36.051756072811,-5.45434383125796,-3.91171213606141,-18.1458160291871,-126.111946822395,34.7908434210068
2.58,-10.0413077470976,13.790075134343,11.3874135787748,-39.2804146860185,-55.8012520074848,-5.42210880929228,31.9406769444331,31.4304847800105,-6.0900751168684,-4.4770893556951,-13.2449883243033,-128.863786808111,33.4344581962501
2.59,-10.0275624943698,13.7044355657299,11.5012182893583,-37.7029826214532,-55.6993964220972,-5.57914603897011,31.3901523893135,27.2090261202818,-6.56132763868864,-4.85673563956708,-8.808448785595,-131.576556080773,31.7687010968171
2.6,-10.0632634471662,13.3545961153903,11.2868462086903,-37.4206647255593,-55.6066270838446,-5.32395444616323,31.222497737464,26.5633406677818,-6.48686737013202,-4.58267379512139,-7.91052571900428,-134.784372596227,30.660309142975
2.61,-10.1772848558041,12.350545974108,10.2602373240589,-38.8164770692368,-54.6003738625257,-4.2449097164889,31.48825091181,30.5716568051276,-5.42210102017688,-3.12892336801406,-11.819655787667,-138.616555776312,29.3226111777791
2.62,-10.1379549889476,11.2785497861869,9.26177110627696,-41.2664585777985,-54.0491056072399,-2.9424459165054,32.0844589033825,37.7016649599433,-4.02776240105178,-1.30603112156435,-18.7694961523698,-141.956551874606,29.1846744535162
2.63,-9.58486013322824,12.5714037711762,11.5773920079268,-37.2696117390863,-58.0263007609395,-4.60720143065792,30.8211242963616,28.2425749525303,-6.64667075439916,-3.86361941086235,-8.46323401450722,-139.615514481146,32.0485705726758
2.64,-9.43956398255824,13.6965661441446,13.2360745983117,-31.0895486099172,-59.160980461224,-6.397603839451,28.9651943608027,11.5093550143295,-9.59768433588712,-6.8553922835335,8.4920241476283,-137.849274812094,30.3915431710177
2.65,-9.62345852142266,13.4606238855057,12.9941790100588,-28.5107689057401,-57.8663313558161,-6.50060694421515,28.0592833550609,4.41106816810226,-10.3305471596256,-7.34928927000475,15.4264065739891,-138.899312737412,27.328819023745
2.66,-9.67420672813379,13.4168189393394,13.0878215812303,-27.6150026099208,-58.0733710482245,-6.53926695828553,27.7984446555397,1.84341244648303,-10.8251915616237,-7.5760571700746,18.2570601234421,-141.523854087924,26.3238678350139
2.67,-9.63654317020031,13.1705461460536,12.9812618912973,-27.1459700169968,-58.0152066464328,-6.35434675940199,27.4768498991196,1.24901602379569,-10.9576894952247,-7.45237408505905,18.9709964388849,-142.823549192672,25.7586868886429
2.68,-9.56584170971213,13.0641071096966,13.0548384433073,-26.4799409732768,-58.2448683096911,-6.31023928846764,27.127507589579,0.097611606448915,-11.2923354373654,-7.53499542937079,20.2655355691136,-143.584270089705,25.5348875503749
2.69,-9.47041010398555,13.018922136566,13.2000833115491,-25.8957179035371,-58.626251688083,-6.30491972755213,26.8158550423537,-0.814317304568294,-11.6610422874125,-7.65865089380309,21.3347431181787,-144.167804455707,25.5739927075459
2.7,-9.36125099728222,13.0081749707108,13.3743358303085,-25.3395014461092,-59.0385918454346,-6.32370155803062,26.5127472106639,-1.61885779649863,-12.0473800318457,-7.80896207376207,22.2776842965649,-144.484443872145,25.7469842381322
2.71,-9.24680660189233,13.0795131825887,13.6245137368097,-24.6691876205968,-59.5092900489883,-6.42953769294402,26.1892094497834,-2.75803220794399,-12.5286681026968,-8.07736363134996,23.5368231101559,-144.439757606165,26.0229250012683
2.72,-9.12334938055473,13.2124703933868,13.9320448187893,-24.005782381276,-60.0512249758022,-6.58722863351712,25.885565632492,-3.91218080918966,-13.0568882947891,-8.40823561104568,24.807234001673,-144.228640660305,26.4286493996943
2.73,-8.99352019731068,13.3582338423472,14.2337066153601,-23.4138777299778,-60.5495764462923,-6.74757824814282,25.6001756403067,-4.8490913661951,-13.5582427378087,-8.72967540820319,25.8305117411807,-143.837272420592,26.8906132478783
2.74,-8.85389789208039,13.4583080439903,14.4601556914891,-23.0613856493791,-60.9302564460559,-6.83756884146033,25.3651138644079,-5.05487395239327,-13.9252926495642,-8.93052380248925,26.0829605218951,-143.379152947407,27.396219343122
2.75,-8.70535975278168,13.5770880689508,14.6941095014031,-22.7729435324759,-61.3081218765751,-6.93648900237134,25.1493920564651,-5.06922560760621,-14.2770423699836,-9.1310270427827,26.1226472776138,-142.740105255043,27.9922756247314
2.76,-8.54851919496315,13.7088148125713,14.9304371049657,-22.5352193043332,-61.6724731774147,-7.04139442562513,24.9465705679065,-4.92343644938236,-14.6127917317712,-9.32891445474324,25.9766971565367,-141.90015211404,28.6656017909972
2.77,-8.38065523494047,13.8673156691865,15.1890657365548,-22.3551489245363,-62.072269628126,-7.16295733251765,24.7676243580529,-4.62236429140294,-14.946832875903,-9.5376682542439,25.6622851992049,-140.90814484616,29.4539088933011
2.78,-8.20181931254414,14.0706015639908,15.4880341677013,-22.2554804697637,-62.5492444745977,-7.31439835439711,24.6300240140395,-4.1377257478767,-15.2866148024232,-9.77029258103322,25.163054918244,-139.846063162661,30.3851333383399
2.79,-8.01545177021766,14.2941487407562,15.8023414008896,-22.1805611787117,-63.0437470704497,-7.48233316563436,24.5020945670692,-3.58154946385514,-15.6293819051804,-10.0161403748307,24.5710137373047,-138.624085615393,31.3980115452782
2.8,-7.82341753869655,14.5296262046941,16.1222559030733,-22.1163688211338,-63.5321900761117,-7.66183316993225,24.3757571641557,-2.98650359207556,-15.9711957363428,-10.2702390335423,23.9120770294484,-137.246165020684,32.4604653609897
2.81,-7.62884297475394,14.7663784386285,16.43421995177,-22.0646197388431,-63.9898125917706,-7.84283968043096,24.2509929295939,-2.35756667520336,-16.303226207307,-10.5208847608431,23.1862737542632,-135.748729202859,33.5357463579023
2.82,-7.43146030175812,14.9773549492209,16.708356519219,-22.0281681528895,-64.3669222870443,-8.00045188732522,24.118502291915,-1.65850825631548,-16.601358410453,-10.7381421409277,22.3359287118257,-133.973510803921,34.6149137770379
2.83,-7.23844142254241,15.1728986839702,16.9520225930381,-21.9643203928985,-64.6497311363933,-8.15251578035218,23.9648220166611,-1.01661188044253,-16.879567863699,-10.9449641529408,21.4965705208188,-132.110058103905,35.6143076699556
2.84,-7.05530404708167,15.3398505570109,17.143483641158,-21.8628823849832,-64.7806614151309,-8.28921060812269,23.7841449493978,-0.464250778513037,-17.1212890515801,-11.1298642787624,20.6859669213665,-130.102232037361,36.4802602120717
2.85,-6.87723701821328,15.4999280781702,17.3452611717495,-21.7898830752756,-65.0218421049674,-8.41100227558621,23.6268527124679,0.102861387469446,-17.3998072949176,-11.3017239872664,19.8740001209276,-128.337914963082,37.4120082574186
2.86,-6.71364364412827,15.640414725913,17.5015534903458,-21.7462783107189,-65.159593625965,-8.51527570740045,23.4745426287145,0.716796291903162,-17.6346003079806,-11.4427372412105,18.9801391568512,-126.703676791753,38.2117371196502
2.87,-6.56089771857579,15.7738478058425,17.6464834442048,-21.7193987128539,-65.307622134449,-8.6099465016271,23.3366143346499,1.31761321970013,-17.874579936533,-11.5719653304821,18.0871146350885,-125.193161066086,38.9917715401207
2.88,-6.41067291184503,15.9143787722249,17.8062898545234,-21.7159653018657,-65.5295536804472,-8.70500214054543,23.22047016251,1.92100031959071,-18.139915029841,-11.7033889016729,17.1939472524691,-123.843925373764,39.811785424929
2.89,-6.26635035738316,16.0610220622243,17.9798150770071,-21.6772592921742,-65.7913849291515,-8.80915974466111,23.1038615397539,2.38151773899453,-18.4418326351225,-11.8524177628956,16.4359374357549,-122.553243256115,40.640012043062
2.9,-6.12494952566211,16.2088839087796,18.1590806167475,-21.7066757507206,-66.1300216252095,-8.90076505086777,23.0254276428453,2.95221078682622,-18.7526603551449,-11.9848217279885,15.5742093637993,-121.461032993748,41.5137991795126
2.91,-6.00765351520368,16.3013946483983,18.2739233554594,-21.7043833952873,-66.3945273991739,-8.94543530897074,22.9314030367349,3.41963327367717,-19.0502116995732,-12.0675930826824,14.7698276599762,-120.060816682121,42.3661162077568
2.92,-5.89958798971482,16.3989612161475,18.3949990265704,-21.6817129984945,-66.6610376764008,-8.99867208058038,22.8388364870789,3.77944922327929,-19.3618760713878,-12.1623885931713,14.0836964681137,-119.027096288257,43.1116772554985
2.93,-5.80956173927187,16.4854891853781,18.4984177105095,-21.6122061238125,-66.8798038965396,-9.05096379124214,22.7343611597157,3.97623390233501,-19.6761562831541,-12.2589389062989,13.5494326222035,-118.072981576246,43.7611513073162
2.94,-5.72842875731612,16.5857211672049,18.6217860343774,-21.5482760383144,-67.1689146658512,-9.11296556562107,22.6511717423065,4.11319860096814,-20.0194617816625,-12.3700163009957,13.0870108834739,-117.247291695853,44.4424875004517
2.95,-5.65831418357883,16.6912738930391,18.7486649239255,-21.494769692111,-67.4816469405756,-9.17721206182921,22.5883943941576,4.20249714835828,-20.3703091619688,-12.4848993739015,12.6776071885869,-116.534421092037,45.1094262341938
2.96,-5.61497030002372,16.7808009075697,18.8484555888119,-21.3199908727821,-67.6863208090296,-9.2510380449703,22.4841284703292,3.95755527332457,-20.7218368152931,-12.6166554207012,12.5748450969662,-115.616894108799,45.6686431684997
2.97,-5.57200853616511,16.8851741349786,18.9765092031369,-21.067796717935,-67.8993269690754,-9.35139008762445,22.3658650221963,3.47109552102759,-21.1015669630715,-12.7877454011087,12.718823324712,-114.733178095725,46.1996715779467
2.98,-5.51246277527491,17.0806833484753,19.2397816435121,-20.7847238779117,-68.3779756193027,-9.52860508973793,22.3001788281356,2.72737741714724,-21.6121670842064,-13.0698186534843,13.1688708688224,-113.994378763002,46.9579163534474
2.99,-5.33987982501984,17.9411161620737,20.5191374081455,-19.3907050925442,-70.3420377917204,-10.4106749582599,22.2309362462024,-1.76235972301026,-23.3134174502593,-14.4055092926709,17.5589004442813,-112.360390902805,49.2628129553435
3,7.8899308791265,38.5560588425717,57.242420052525,-6.22836071644165,-133.824623307545,-27.9729992242576,26.9241725412466,-49.8847912454532,-56.9102758544732,-41.2575056087691,72.524796966239,-83.5483299261718,122.679408412552
3.01,-7.7884795065813,1.91408331937843,-3.5662870199873,-66.2274317502813,-62.2822799067766,8.62062443958609,25.3171617365749,159.006827234632,5.98341521180319,17.0705654658077,-148.671542587364,-87.3363821904945,58.1943769554765
3.02,-5.31855370592854,17.1013588213355,18.9571517178788,-21.8305841447115,-68.2602728393835,-9.27402714064644,22.419989419849,5.92825466796076,-21.7596867170657,-12.7294571555288,8.40497865697751,-112.533939026959,47.7813916157536
3.03,-5.55458962386105,16.6738417478967,17.9799085559304,-22.6422418666708,-66.4675973179572,-8.78751269912811,22.5057803960591,8.0931213379626,-20.8183382577678,-11.9999659645025,5.66920932317438,-113.418068611442,45.7671195015576
3.04,-5.80046575830752,16.436787454319,17.2061016419512,-23.6350853915389,-65.237863379756,-8.42300544351431,22.796804707824,10.2744318042024,-20.0638307191614,-11.4278538295239,3.031806809269,-114.903978078567,44.1821390043308
3.05,-6.05876282800467,16.3654601786546,16.6050481728207,-24.6197395055537,-64.3459102500835,-8.19571293218508,23.2075800154086,12.0646489090892,-19.470647948963,-11.0390405138142,0.851420057922778,-116.439223039932,42.8970770147203
3.06,-6.3192486246981,16.4029297014021,16.128795456869,-25.6567351067926,-63.7813085116589,-8.05090606647199,23.7161660117256,13.7483320764154,-18.98726095401,-10.7550589840774,-1.16137953296129,-118.160006632197,41.8855948716694
3.07,-6.57151882321185,16.5110994250516,15.7462896375426,-26.5574368818517,-63.3207471893798,-7.99458292822812,24.2196227378317,14.9852363539638,-18.5765325571671,-10.5874397869199,-2.71702208579615,-119.530349352372,41.0213521876864
3.08,-6.83079303343213,16.649200955459,15.4188606271114,-27.4369339222062,-63.080558609744,-7.96812465121426,24.7527469542769,16.0662835048165,-18.2390864812791,-10.4609836225247,-4.10440203990932,-120.488461948595,40.4669017358355
3.09,-7.08563297477321,16.8347122168175,15.1555559951464,-28.1569056248892,-62.819178207546,-8.01334765951573,25.272692632853,16.6037864088422,-17.938741445408,-10.4336259701967,-4.92892706171938,-121.445327750671,39.8421668320227
3.1,-7.32485326874501,17.047162923597,14.9138809280392,-28.9234609917215,-62.587545685762,-8.08288852029408,25.8280425251434,17.2006170951387,-17.5991856925028,-10.422409910455,-5.80900321171867,-122.211060030396,39.2771620423541
3.11,-7.55876719735571,17.2836765098111,14.6827529251065,-29.746801067261,-62.391649746493,-8.17805071279629,26.4124148793352,17.922680189086,-17.2148252478469,-10.4198370190128,-6.81670888140765,-122.689712687865,38.8056450206919
3.12,-7.81397355404621,17.5592523577747,14.4688713271231,-30.5571143196489,-62.1954071252783,-8.31813062406967,27.0348287006829,18.4620616939429,-16.8251339586626,-10.4630880392388,-7.635339748376,-122.9926974217,38.3535259119952
3.13,-8.07505987198231,17.8455403271869,14.2546515356152,-31.3850849212566,-62.0006808357913,-8.47698441735439,27.6751968539925,19.0048109947641,-16.4049481306077,-10.5127218887022,-8.45348942078247,-123.108420538977,37.9346033227911
3.14,-8.3457792879306,18.1526104412891,14.0479806634547,-32.210152168976,-61.7959362818536,-8.66383668818092,28.3402669225715,19.4522713610063,-15.9709786931615,-10.5857043258889,-9.18174732486255,-122.895839447581,37.5712868038652
3.15,-8.63786646039129,18.4019201350952,13.7075886286391,-33.2914956270194,-61.4531278147233,-8.7815049472755,29.0586286196295,20.639582086811,-15.3415075126956,-10.5189018177685,-10.6458606712512,-122.690206981388,37.063456527389
3.16,-8.92975007043276,18.5968208361302,13.2927009171759,-34.5290676348928,-61.0902810871021,-8.84113606684637,29.8003253984497,22.3090530916297,-14.6129819891978,-10.3482132686916,-12.5908988423624,-122.437647015496,36.5466240624005
3.17,-9.23773873336863,18.7347275051096,12.7770898844477,-35.925585904752,-60.6181269522654,-8.84173233645041,30.5702221319296,24.4499782561097,-13.7592101482186,-10.068991561165,-14.9949823359382,-122.232649033863,35.9056943152629
3.18,-9.12885829594446,18.3546206916183,11.7393013078682,-38.5989103327467,-59.7302295739422,-8.33917209585309,30.9854251503094,32.7426069503111,-11.7516528104932,-8.83563112784053,-23.6636672138672,-121.600527151308,35.0251920360787
3.19,-10.0489385842794,18.9477683550615,11.544551466115,-38.7133650841186,-59.3206461594948,-8.80183290298286,32.222272453874,28.2437815770823,-12.002197235706,-9.44530701173938,-19.2893904531402,-121.386221289338,34.3530535023895
3.2,-10.7726905726694,19.2079530806989,11.100156801835,-39.2311013215336,-58.6830501446681,-8.98383714858582,33.1714065980028,26.2567025999535,-11.7757698201574,-9.57401600041382,-17.3533186490722,-122.698630431539,33.1132294199789
