Time,Moment_ElbowFlexion,Moment_ElbowPronation,Moment_WristAbduction,Moment_WristFlexion,Force_ElbowHumeroUlnar_AnteroPosteriorForce,Force_ElbowHumeroUlnar_AxialMoment,Force_ElbowHumeroUlnar_LateralMoment,Force_ElbowHumeroUlnar_MedioLateralForce,Force_ElbowHumeroUlnar_ProximoDistalForce,Force_WristRadioCarpal_AxialMoment,Force_WristRadioCarpal_DorsoVolarForce,Force_WristRadioCarpal_ProximoDistalForce,Force_WristRadioCarpal_RadialForce
1.22,0.240145893,0.009904609,-0.028561468,-0.152029032,-0.546548335,-0.04496839,0.20409815,-0.128769797,5.31704795,-0.028308822,-0.473995547,3.744563332,-0.6324886
1.23,0.216939522,0.008232784,-0.03037668,-0.152135589,-0.444636692,-0.046215588,0.212081085,-0.176562059,5.283839058,-0.030007261,-0.449098839,3.732761578,-0.668558995
1.24,0.193326875,0.006499845,-0.032256815,-0.152306791,-0.342706539,-0.047577095,0.220623582,-0.227548731,5.251064319,-0.031761927,-0.423138133,3.721859835,-0.70582703
1.25,0.169640139,0.004735263,-0.034171027,-0.152554977,-0.242152411,-0.049043037,0.229717777,-0.281619395,5.219366834,-0.033543754,-0.396388478,3.712284259,-0.743719191
1.26,0.146234288,0.002971189,-0.036084902,-0.152891579,-0.144414679,-0.050601482,0.239357682,-0.338671033,5.189386248,-0.035320497,-0.36914012,3.704451085,-0.781595535
1.27,0.123477657,0.00124151,-0.037961427,-0.153326471,-0.050943258,-0.052238242,0.249537655,-0.398602992,5.161736557,-0.037057659,-0.341693243,3.698750018,-0.818767053
1.28,0.101797815,-0.000420593,-0.039761999,-0.153864492,0.036586171,-0.053934727,0.260209521,-0.46112364,5.137057907,-0.038720131,-0.314444376,3.695527922,-0.854477878
1.29,0.081337792,-0.001975642,-0.041448214,-0.154521627,0.117810849,-0.055679772,0.271524029,-0.526842503,5.115560103,-0.04026991,-0.287335071,3.695070506,-0.888151435
1.3,0.062749464,-0.00339883,-0.042982068,-0.155283781,0.190085725,-0.057440404,0.283236734,-0.594579581,5.098059184,-0.041675837,-0.26116882,3.697593878,-0.91887647
1.31,0.046137853,-0.004654762,-0.044327622,-0.156159979,0.253211382,-0.05919709,0.295461534,-0.664844721,5.084583882,-0.042902328,-0.235883375,3.703227554,-0.946113636
1.32,0.03180871,-0.005718741,-0.045454917,-0.15714115,0.30613391,-0.060925155,0.308154359,-0.737226299,5.075351396,-0.043923265,-0.211810531,3.711997747,-0.969266766
1.33,0.01997054,-0.006568235,-0.046336367,-0.15821839,0.34814371,-0.062592026,0.321255593,-0.811423322,5.070383183,-0.044713478,-0.189175115,3.723840383,-0.987822241
1.34,0.010772121,-0.007185818,-0.046950801,-0.159378402,0.378782042,-0.064164242,0.334698105,-0.887029711,5.069549481,-0.04525392,-0.168177833,3.73858519,-1.001383523
1.35,0.004300697,-0.0075594,-0.047283381,-0.160604148,0.397820482,-0.065606028,0.348393664,-0.963531831,5.072574917,-0.045531353,-0.148992739,3.755960852,-1.009671049
1.36,0.000582898,-0.007682654,-0.047326034,-0.161875104,0.405252307,-0.066880444,0.362231706,-1.040303499,5.079049172,-0.045538754,-0.131767056,3.775600645,-1.012528562
1.37,-0.000410361,-0.00755535,-0.047077654,-0.163167583,0.401269103,-0.067950993,0.376079036,-1.116607481,5.088446164,-0.045275534,-0.116622846,3.797051893,-1.009923596
1.38,0.001244341,-0.007183526,-0.046544003,-0.16445518,0.386225124,-0.068783579,0.389780595,-1.19160429,5.100150439,-0.044747515,-0.103660496,3.819789462,-1.0019422
1.39,0.005433327,-0.00657939,-0.045737329,-0.165709361,0.360593367,-0.06934862,0.403161596,-1.264369196,5.113487355,-0.043966639,-0.092962945,3.843233206,-0.988778618
1.4,0.012016917,-0.005760903,-0.044675678,-0.166900291,0.324918724,-0.069623166,0.416031638,-1.333919037,5.127752801,-0.042950375,-0.08459858,3.866768677,-0.970720656
1.41,0.02083981,-0.004750984,-0.043381898,-0.167997879,0.279775601,-0.069592813,0.428191379,-1.399249632,5.142240426,-0.041720806,-0.078621117,3.88977023,-0.948131366
1.42,0.031739331,-0.00357631,-0.041882358,-0.168972997,0.22573908,-0.069253138,0.439441704,-1.459382004,5.156267978,-0.040303398,-0.075066476,3.911625845,-0.92142842
1.43,0.044550561,-0.002265795,-0.040205511,-0.169798767,0.163375159,-0.068610419,0.449594459,-1.51341298,5.169204848,-0.038725594,-0.073948035,3.931763007,-0.891063329
1.44,0.059108937,-0.000848944,-0.03838048,-0.170451778,0.093245459,-0.067681397,0.458482362,-1.560561005,5.18049997,-0.037015405,-0.075253661,3.949674002,-0.857502755
1.45,0.075252176,0.000645625,-0.03643594,-0.170912959,0.015914193,-0.066491983,0.465964193,-1.60019297,5.189706605,-0.035200299,-0.078950179,3.964937895,-0.821214319
1.46,0.091616733,0.002212199,-0.034410782,-0.171231847,-0.063018527,-0.065076985,0.472758572,-1.635725553,5.195444055,-0.033301992,-0.083054843,3.977310854,-0.783599785
1.47,0.112694749,0.003745162,-0.032289146,-0.171153821,-0.162390714,-0.063467223,0.475546688,-1.65177091,5.20160401,-0.031364407,-0.0950232,3.986332055,-0.741512405
1.48,0.131636404,0.005342901,-0.030153185,-0.171028294,-0.253543527,-0.061709762,0.478926062,-1.669910042,5.202177734,-0.029380386,-0.103986178,3.992238543,-0.700528656
1.49,0.152600834,0.006912348,-0.027987812,-0.170630326,-0.353885251,-0.059845293,0.479854785,-1.67612466,5.201028408,-0.027389681,-0.116876437,3.994870366,-0.657761676
1.5,0.174395339,0.00845978,-0.0258197,-0.170021949,-0.458341142,-0.057914241,0.479065709,-1.674002706,5.197349067,-0.025403839,-0.131926231,3.994390389,-0.614370809
1.51,0.196858274,0.009977086,-0.023663678,-0.169216295,-0.566113343,-0.055956504,0.47661231,-1.663959111,5.191339043,-0.023435982,-0.149009159,3.991015064,-0.570689419
1.52,0.219818087,0.011459657,-0.021531566,-0.168231607,-0.67632054,-0.054009303,0.472596105,-1.646616801,5.183262519,-0.021496131,-0.167945857,3.985036713,-0.5270166
1.53,0.24309519,0.012905505,-0.019432687,-0.167090332,-0.788014736,-0.052106209,0.467162054,-1.622780509,5.173436615,-0.019591772,-0.188507321,3.976806125,-0.483620485
1.54,0.268593097,0.014279731,-0.017351186,-0.165703033,-0.908675342,-0.050318978,0.459013118,-1.586380615,5.163671173,-0.017734993,-0.213828312,3.966544023,-0.439055062
1.55,0.287732387,0.01572352,-0.015384161,-0.164559164,-1.003209752,-0.048501298,0.454327523,-1.56681274,5.148470653,-0.015901466,-0.229882657,3.955289727,-0.400276441
1.56,0.312935946,0.017023462,-0.013403798,-0.16299501,-1.121872194,-0.046935752,0.444355116,-1.522598922,5.137078326,-0.014141309,-0.256969243,3.942587686,-0.357421604
1.57,0.335638456,0.018321356,-0.011501933,-0.161498921,-1.229596335,-0.045459713,0.435336756,-1.48337817,5.123911799,-0.01242561,-0.280963756,3.929349151,-0.317335732
1.58,0.357757641,0.019579531,-0.00966244,-0.159984362,-1.333990541,-0.04413381,0.426038499,-1.443316966,5.110784794,-0.010766437,-0.304922889,3.915815583,-0.27853581
1.59,0.37913753,0.020794042,-0.007890755,-0.158477034,-1.434263795,-0.04296923,0.416716962,-1.403647835,5.09797715,-0.009168,-0.328470747,3.902298325,-0.241178816
1.6,0.399635069,0.021959341,-0.00619272,-0.157000274,-1.529721152,-0.041974773,0.407620689,-1.36556141,5.085715846,-0.007635021,-0.351237825,3.889056239,-0.205412674
1.61,0.419120677,0.023068631,-0.004574534,-0.155574712,-1.619768531,-0.041157035,0.39898317,-1.330172205,5.074172878,-0.00617263,-0.372869915,3.87629317,-0.171377397
1.62,0.437478376,0.024114415,-0.00304261,-0.154218097,-1.703914695,-0.040520442,0.391016069,-1.298483928,5.06346774,-0.004786164,-0.393037293,3.864159497,-0.139205835
1.63,0.454606497,0.025089142,-0.001603395,-0.152945261,-1.781775209,-0.040067184,0.383902195,-1.271352487,5.053674128,-0.003480929,-0.411445172,3.852757351,-0.109023811
1.64,0.470395229,0.025986406,-0.000263166,-0.151769606,-1.852975793,-0.039796284,0.377808623,-1.249537944,5.04480656,-0.002261608,-0.427798953,3.842147726,-0.080964108
1.65,0.484920662,0.026797618,0.000973185,-0.150691996,-1.917967067,-0.039709932,0.37272983,-1.232986193,5.036997321,-0.001133901,-0.442161986,3.832361233,-0.055031656
1.66,0.497832969,0.027524356,0.002098226,-0.149736392,-1.975468785,-0.039793085,0.368957923,-1.222978419,5.030016502,-9.93E-05,-0.453874551,3.823410985,-0.031544098
1.67,0.509360189,0.028160502,0.003110878,-0.148892935,-2.026613854,-0.040046459,0.366326417,-1.218633518,5.02404926,0.000838869,-0.463296482,3.815288949,-0.010374621
1.68,0.519414606,0.028708057,0.004008096,-0.14816893,-2.071265293,-0.040457387,0.3648796,-1.220019912,5.019047288,0.001680111,-0.470271664,3.807991619,0.00836463
1.69,0.528015045,0.02916974,0.004789114,-0.147565259,-2.109739269,-0.04101395,0.364562847,-1.226721008,5.015044074,0.002425,-0.474848323,3.801519609,0.024651113
1.7,0.535211797,0.029549754,0.00545433,-0.147080683,-2.142493341,-0.041702794,0.365278983,-1.238116994,5.012113556,0.003074843,-0.477156786,3.795887692,0.038489029
1.71,0.541090261,0.029853123,0.006004957,-0.146711685,-2.170134426,-0.042509459,0.366887217,-1.25339941,5.010382977,0.003631213,-0.477420374,3.791131694,0.049908038
1.72,0.545771425,0.030085165,0.006442824,-0.146452588,-2.193410096,-0.043418475,0.369206816,-1.271601616,5.010037479,0.004095607,-0.475955179,3.787312997,0.05896251
1.73,0.549222812,0.030253216,0.006767168,-0.146305695,-2.212428156,-0.044408568,0.372148278,-1.292221313,5.011200019,0.004468988,-0.472865588,3.784523809,0.065567969
1.74,0.552363037,0.030354608,0.006994465,-0.146224539,-2.231105991,-0.045479884,0.375003547,-1.311845943,5.01459693,0.004754814,-0.469741164,3.782863169,0.070491428
1.75,0.55426553,0.030407304,0.007109873,-0.146259424,-2.24584289,-0.046586137,0.378282824,-1.332845685,5.019833376,0.00495279,-0.465297162,3.782493638,0.072878745
1.76,0.555864845,0.030409325,0.007132731,-0.146365501,-2.260486431,-0.047724065,0.381301816,-1.351912338,5.0276541,0.005068048,-0.461110055,3.783559026,0.073555315
1.77,0.557161436,0.030369554,0.007067604,-0.146548139,-2.275032167,-0.048866971,0.384010285,-1.368727727,5.038220391,0.005104675,-0.45727436,3.786244575,0.072545914
1.78,0.55832709,0.030295572,0.00692371,-0.146805491,-2.290082077,-0.049991641,0.386270389,-1.382528553,5.051785981,0.005068333,-0.454117234,3.790749621,0.070058046
1.79,0.559514619,0.030195688,0.006711374,-0.147138228,-2.306079953,-0.051074301,0.387977308,-1.392675626,5.068577054,0.004965645,-0.451907528,3.7972891,0.066309791
1.8,0.56085405,0.030078899,0.006441686,-0.147549388,-2.323303418,-0.052090997,0.389056384,-1.398638756,5.088788257,0.004803964,-0.450857385,3.806088895,0.061521946
1.81,0.562450087,0.029954835,0.006126156,-0.14804403,-2.341864159,-0.053017934,0.389458546,-1.399975463,5.112579947,0.004591135,-0.451127144,3.817379426,0.055910543
1.82,0.564380207,0.02983367,0.005776349,-0.148628756,-2.361712857,-0.053831775,0.389155113,-1.396308263,5.140076281,0.004335238,-0.452831595,3.831387629,0.04967953
1.83,0.566693318,0.029725966,0.005403508,-0.149311106,-2.382648072,-0.054509873,0.388132171,-1.387302254,5.171363447,0.004044301,-0.456047248,3.848327197,0.043013483
1.84,0.570174706,0.029630177,0.00502647,-0.150058998,-2.40751676,-0.055037031,0.385852594,-1.370141443,5.207094644,0.003722969,-0.462056953,3.868397735,0.036676339
1.85,0.571751506,0.029606339,0.004620925,-0.151038942,-2.423089878,-0.055367501,0.384439607,-1.354511557,5.244860516,0.003390058,-0.465955713,3.891718013,0.028363869
1.86,0.575992364,0.029590974,0.004246428,-0.152017753,-2.448000116,-0.055518284,0.380702797,-1.325115525,5.288237559,0.003034699,-0.475152196,3.918440415,0.021831799
1.87,0.579736542,0.029643139,0.003873762,-0.153160289,-2.468695341,-0.055446218,0.376765439,-1.291654146,5.334724583,0.002672448,-0.484695536,3.948597302,0.014650255
1.88,0.583660686,0.029759671,0.00351579,-0.154428377,-2.487657199,-0.055141021,0.372080255,-1.251306603,5.384805365,0.002304099,-0.495830278,3.982184979,0.007433888
1.89,0.587633151,0.029948303,0.003173575,-0.155821593,-2.50406015,-0.054587751,0.366624121,-1.203767453,5.438315172,0.001930961,-0.508558959,4.019130523,0.000114142
1.9,0.591495,0.03021498,0.002845096,-0.157336516,-2.517036108,-0.053773828,0.360361655,-1.14874349,5.495051772,0.001552007,-0.522894769,4.059292693,-0.007438534
1.91,0.593981692,0.030580736,0.002512522,-0.159024269,-2.521268858,-0.05268226,0.354019959,-1.089631467,5.553919231,0.00116738,-0.537098244,4.102468025,-0.016295221
1.92,0.599075835,0.030979112,0.002216031,-0.160652658,-2.533055864,-0.051336446,0.344549467,-1.01208708,5.617909074,0.000756618,-0.55800879,4.148342609,-0.023292974
1.93,0.600465252,0.031504721,0.001870468,-0.162531663,-2.526504148,-0.049691534,0.336212195,-0.936411141,5.681973091,0.000329052,-0.575809119,4.19662823,-0.033732659
1.94,0.602210967,0.032084061,0.001513188,-0.16441879,-2.518438967,-0.047787264,0.32590218,-0.848221967,5.749016571,-0.000139019,-0.597461102,4.246849164,-0.044427419
1.95,0.602031169,0.03273502,0.001096726,-0.166404309,-2.499796153,-0.045616682,0.314987741,-0.754357668,5.817068317,-0.000660841,-0.619689008,4.298556244,-0.057515372
1.96,0.601312616,0.033423229,0.000627133,-0.168383365,-2.476482231,-0.043218143,0.302299466,-0.649791738,5.886763168,-0.001250826,-0.645035789,4.351155709,-0.07196773
1.97,0.598884684,0.034141257,6.77E-05,-0.170384666,-2.444147065,-0.040609769,0.288470287,-0.538040373,5.956837773,-0.001927849,-0.671892403,4.404051783,-0.089022467
1.98,0.594849956,0.034864116,-0.000596208,-0.1723706,-2.40364172,-0.037832484,0.273315785,-0.418810371,6.026834675,-0.00270759,-0.700544261,4.456554602,-0.108757774
1.99,0.589098804,0.035567281,-0.001381446,-0.17431549,-2.354998637,-0.034930685,0.256860439,-0.292805899,6.096058945,-0.003604484,-0.730803514,4.507927521,-0.131404951
2,0.58155755,0.036224861,-0.002301912,-0.176192874,-2.298418071,-0.031952775,0.239168512,-0.160925837,6.163754539,-0.004630447,-0.762403724,4.55739017,-0.157117585
2.01,0.572195831,0.036810474,-0.003368333,-0.177974926,-2.234282699,-0.028948153,0.220328674,-0.024196651,6.229117499,-0.005794576,-0.795035021,4.604131342,-0.185964436
2.02,0.561031375,0.037298475,-0.004587769,-0.179632089,-2.16316042,-0.025964184,0.200439482,0.116294021,6.291305253,-0.007102665,-0.828377067,4.647322874,-0.21792299
2.03,0.548127217,0.037665851,-0.005962505,-0.181133642,-2.085771951,-0.023043286,0.179609633,0.259415719,6.349431279,-0.008555965,-0.862100577,4.686132542,-0.252868625
2.04,0.533581734,0.037894509,-0.007488501,-0.182449159,-2.002926644,-0.020220128,0.157972958,0.403963512,6.402550399,-0.010149382,-0.895838034,4.719736674,-0.290561488
2.05,0.517519488,0.03797298,-0.009154374,-0.183549748,-1.915463254,-0.017519077,0.135699124,0.548639581,6.44965498,-0.011870297,-0.929163896,4.747334685,-0.330641079
2.06,0.503420574,0.03756091,-0.011409533,-0.183908181,-1.832944555,-0.014528994,0.10253664,0.732585323,6.490427044,-0.014228161,-0.980302271,4.767224446,-0.378130021
2.07,0.492354192,0.036539725,-0.014242387,-0.183595706,-1.782036052,-0.012167582,0.061067152,0.940408789,6.533810958,-0.017188254,-1.047327462,4.781183365,-0.431728554
2.08,0.447136959,0.038698653,-0.013009747,-0.187195956,-1.573175015,-0.010933872,0.106131438,0.825207223,6.534270596,-0.015575693,-0.94949966,4.788035737,-0.441184951
2.09,0.441596662,0.036815504,-0.016754063,-0.185303246,-1.537374998,-0.008034131,0.044509554,1.102157709,6.558002095,-0.019541905,-1.049681698,4.783255957,-0.504060207
2.1,0.420739761,0.036170732,-0.018753663,-0.184942055,-1.440697271,-0.005949706,0.022023882,1.228093018,6.560206894,-0.021516453,-1.074582433,4.77093683,-0.547514158
2.11,0.399649679,0.035404097,-0.020734319,-0.184217834,-1.345314825,-0.003948731,-2.82E-05,1.347208814,6.551157061,-0.023454508,-1.096998923,4.749318738,-0.589696784
2.12,0.378584886,0.034520151,-0.022674912,-0.183111237,-1.252293367,-0.002010448,-0.021595779,1.459044395,6.530471546,-0.025335426,-1.116916811,4.718246677,-0.630083918
2.13,0.357755404,0.033524121,-0.024555544,-0.181611671,-1.162467611,-0.000114436,-0.042577367,1.563068034,6.497951709,-0.027139629,-1.134232935,4.677714434,-0.668207942
2.14,0.337319749,0.032420654,-0.026360271,-0.179717055,-1.076432159,0.001759919,-0.062854365,1.658804057,6.45361283,-0.028851405,-1.148813478,4.627878081,-0.703707049
2.15,0.317379978,0.031214034,-0.028077543,-0.177434636,-0.994520583,0.003632705,-0.082291396,1.745839543,6.397700102,-0.030459315,-1.160495717,4.56906469,-0.736338793
2.16,0.297974916,0.029909288,-0.029699256,-0.174782405,-0.916776495,0.005521802,-0.100715505,1.823740061,6.330682469,-0.031955156,-1.169053096,4.501775695,-0.765973278
2.17,0.269292435,0.029608061,-0.029835788,-0.173183242,-0.799068247,0.006646851,-0.088144599,1.776406447,6.238797322,-0.031782738,-1.11925119,4.428104492,-0.777768484
2.18,0.265238632,0.02642027,-0.03345537,-0.167774551,-0.796655531,0.009878909,-0.149968273,2.009747101,6.173723745,-0.035481833,-1.206488558,4.344903289,-0.825669576
2.19,0.249636032,0.024910943,-0.034561339,-0.164117992,-0.73399936,0.011881317,-0.16409315,2.063710051,6.078607027,-0.036446223,-1.203236226,4.255389536,-0.841228578
2.2,0.225209831,0.023747954,-0.035285986,-0.161075391,-0.643175693,0.013446128,-0.161890346,2.042224844,5.969499239,-0.03687447,-1.169785016,4.163742367,-0.856625187
2.21,0.208138499,0.021998109,-0.03649975,-0.157087544,-0.582800232,0.01555228,-0.173686967,2.075217441,5.862359621,-0.037886403,-1.161924374,4.06695838,-0.873627082
2.22,0.191432608,0.020168991,-0.037668739,-0.152970481,-0.525009809,0.01769061,-0.184047945,2.100531005,5.751606648,-0.03884173,-1.151170957,3.967648844,-0.889075433
